,Dir Rank,Movie,actor,type,role,aw
94,ABo10,And God Spoke,Stephen Rappaport,\Und,"failing epic producer ""Marvin Handleman""",|
95,ABo10,And God Spoke,s a,\Und,"tatooed vrigin ""Mary""",|
96,ABr1,Real Life,Albert Brooks,\Und,"ducumentary movie director, frustrated, burns All-American house down",|
97,ABr1,Real Life,Frances Lee McCain,\Und,"All-American mother ""Jeanette Yeager""",|
98,ABr1,Real Life,s a,\Und,All-American father,|
99,ABr1,Real Life,Charles Grodin,\Und,und,|
100,ABr2,Modern Romance,Albert Brooks,\Und,und,|
101,ABr2,Modern Romance,Kathryn Harrold,\Und,und,|
102,ABr2,Modern Romance,Bruno Kirby,\Und,und,|
103,ABr2,Modern Romance,James L. Brooks,\Und,und,|
104,ABr2,Modern Romance,Meadowlark Lemon,\Und,und,|
105,ABr2,Modern Romance,George Kennedy,\Und,und,|
106,ABr2,Modern Romance,Super Dave Osborne,\Und,sporting goods salesman,|
107,ABr3,Lost in America,Albert Brooks,\Und,"ad exec, escapes job in RV",|
108,ABr3,Lost in America,Julie Hagerty,\Und,"wife, loses nest egg",|
109,ABr3,Lost in America,Garry K. Marshall,\Und,casino boss,|
110,ABr3,Lost in America,Art Frankel,\Und,job counselor,|
111,ABr4,Defending Your Life,Albert Brooks,\Und,"yuppie adman, died untimely",|
112,ABr4,Defending Your Life,Lee Grant,\Und,heavenly judge,|
113,ABr4,Defending Your Life,s a,\Und,heavenly prosecutor,|
114,ABr4,Defending Your Life,Meryl Streep,\Und,dead perfect mother,|
115,ABr4,Defending Your Life,Rip Torn,\Und,defense lawyer,|
116,ABr4,Defending Your Life,Shirley MacLaine,\Cam,believer,|
117,ABr7,Mother,Debbie Reynolds,\Und,befuddled mother,|
118,ABr7,Mother,s a,\Und,"son, writer, moves back home",|
119,ABr9,The Muse,Jennifer Tilly,\Und,ditzy movie starjon,|
120,ABu10,Just Between Friends,Mary Tyler Moore,\Und,disatisfied houswife,|
121,ABu10,Just Between Friends,Ted Danson,\Und,und,|
122,ABu10,Just Between Friends,Christine Lahti,\Und,lesbian love,|
123,ABu10,Just Between Friends,Sam Waterston,\Und,"RZ:older husband, dies",|
124,ABu10,Just Between Friends,Salome Jens,\Und,und,|
125,ABW40,Busman's Honeymoon,Robert Montgomery,\Und,landlord,|
126,ABW40,Busman's Honeymoon,Constance Cummings,\Und,RS:bride,
127,ABW40,Busman's Honeymoon,Seymour Hicks,\Und,comic,|
128,ABW40,Busman's Honeymoon,Leslie Banks,\Und,husband,|
129,ABW40,Busman's Honeymoon,Robert Newton,\Und,und,|
130,ABW40,Busman's Honeymoon,Googie Withers,\Und,und,|
131,ABW40,Busman's Honeymoon,Frank Pettingell,\Und,und,|
132,ABz10,Portrait of a Hitman,Jack Palance,\Und,und,|
133,ABz10,Portrait of a Hitman,Richard Roundtree,\Und,und,|
134,ABz10,Portrait of a Hitman,Ann Turkel,\Und,und,|
135,ABz10,Portrait of a Hitman,Bo Svenson,\Und,und,|
136,ABz10,Portrait of a Hitman,Rod Steiger,\Und,und,|
137,AbH1,Menace II Society,s a,\Und,"black teen, murders",|
138,AbH1,Menace II Society,s a,\Und,"Korean storekeeper, murdered",|
139,AbH1,Menace II Society,s a,\Und,"Korean storekeeper's wife, murdered",|
140,AC5,Don Juan,John Barrymore,\Und,"rogue ""Don Juan""",|
141,AC5,Don Juan,Mary Astor,\Und,"RN:""Lucretia Borgia""",|
142,AC5,Don Juan,Warner Oland,\Und,und,|
143,AC5,Don Juan,Estelle Taylor,\Und,und,|
144,AC5,Don Juan,Myrna loy,\Und,und,|
145,AC5,Don Juan,Phyllis Haver,\Und,und,|
146,AC5,Don Juan,Willard Louis,\Und,und,|
147,AC5,Don Juan,Montague Love,\Und,und,|
148,AC6,The Beloved Rogue,John Barrymore,\Her,"rogue, befriends king ""Francois Villon""",|
149,AC6,The Beloved Rogue,Conrad Veidt,\Und,"king ""Louis XI""",|
150,AC6,The Beloved Rogue,Marceline Day,\Lov,und,|
151,AC6,The Beloved Rogue,Mack Swain,\Und,und,|
152,AC6,The Beloved Rogue,Slim Summerville,\Und,und,|
153,AC7,In Old San Francisco,Anna May Wong,\Und,villain,|
154,AC7,In Old San Francisco,Sojin,\Und,und,|
155,AC8,The Jazz Singer,Al Jolson,\Und,"boy singer, cantor's son",|
156,AC8,The Jazz Singer,May McAvoy,\Und,und,|
157,AC8,The Jazz Singer,Warner Oland,\Und,und,|
158,AC8,The Jazz Singer,Eugenie Besserer,\Und,und,|
159,AC8,The Jazz Singer,Otto Lederer,\Und,und,|
160,AC9,Glorious Betsy,Conrad Nagel,\Und,Napoleons younger brother,|
161,AC9,Glorious Betsy,Dolores Costello,\Und,Baltimore beauty,|
162,AC9,Glorious Betsy,John Miljan,\Und,und,|
163,AC9,Glorious Betsy,Marc McDermott,\Und,und,|
164,AC9,Glorious Betsy,Betty Blythe,\Und,"RZ:princess ""Fredericka von Wurttemberg""",|
165,AC9,Glorious Betsy,Paul Panzer,\Und,und,|
166,AC9,Glorious Betsy,Michael Vavitch,\Und,und,|
167,AC9,Glorious Betsy,Pasquale Amato,\Und,"emperor ""Napoleon""",|
168,AC20,The Great Impersonation,Edmund Lowe,\Und,"German, impersonates British nobleman",|
169,AC20,The Great Impersonation,Valerie Hobson,\Und,RZ:nobleman's wife,|
170,AC20,The Great Impersonation,Vera Engels,\Und,und,|
171,AC20,The Great Impersonation,Henry Mollison,\Und,und,|
172,AC20,The Great Impersonation,Lumsden Hare,\Und,und,|
173,AC20,The Great Impersonation,Spring Byington,\Und,und,|
174,AC20,The Great Impersonation,Charles Waldron,\Und,und,|
175,AC20,The Great Impersonation,Dwight Frye,\Und,und,|
176,ACa40,Went the Day Well?,Leslie Banks,\Und,"villager, resists paratroopers",|
177,ACa40,Went the Day Well?,Elizabeth Allen,\Und,und,|
178,ACa40,Went the Day Well?,Frank Lawton,\Und,und,|
179,ACa40,Went the Day Well?,Basil Sidney,\Und,und,|
180,ACa40,Went the Day Well?,Valerie Taylor,\Und,und,|
181,ACa40,Went the Day Well?,Mervyn Johns,\Und,und,|
182,ACa40,Went the Day Well?,Edward Rigby,\Und,und,|
183,ACa40,Went the Day Well?,Marie Lohr,\Und,und,|
184,ACa40,Went the Day Well?,C.V. France,\Und,und,|
185,ACa40,Went the Day Well?,David Farrar,\Und,und,|
186,ACa50,Dead of Night,Mervyn Jones,\Und,"architect, dreams",|
187,ACa50,Dead of Night,Roland Culver,\Vic,"psychiatrist, killed",|
188,ACa50,Dead of Night,Mary Merrall,\Und,und,|
189,ACa50,Dead of Night,Judy Kelly,\Und,und,|
190,ACa50,Dead of Night,Anthony Baird,\Und,und,Nt(in Room for One More)
191,ACa50,Dead of Night,Miles Malleson,\Und,und,Nt(in Room for One More)
192,ACa50,Dead of Night,Sally Ann Howes,\Und,und,Nt(in Murdered Child)
193,ACa50,Dead of Night,Frederick Valk,\Und,und,|
194,ACa50,Dead of Night,Googie Withers,\Und,und,Nt(in Mirror of Crime)
195,ACa50,Dead of Night,Ralph Michael,\Und,und,Nt(in Mirror of Crime)
196,ACa50,Dead of Night,Esm\'e Percy,\Und,und,|
197,ACa50,Dead of Night,Basil Radford,\Und,und,Nt(in Golfer's Story)
198,ACa50,Dead of Night,Naunton Wayne,\Und,und,Nt(in Golfer's Story)
199,ACa50,Dead of Night,Michael Redgrave,\Und,schizophrenic ventriloquist,Nt(In Ventriloquist)
200,ACa50,Dead of Night,Hartley Power,\Und,rival,Nt(In Ventriloquist)
201,ACa50,Dead of Night,Frederick Valk,\Und,psychoanalyst,Nt(In Ventriloquist)
202,ACa50,Dead of Night,Elizabeth Welch,\Und,und,|
203,ACa60,Nicholas Nickleby,Derek Bond,\Und,"schoolmaster, joins entertainer",|
204,ACa60,Nicholas Nickleby,Cedric Hardwicke,\Und,"mean uncle, usurer",|
205,ACa60,Nicholas Nickleby,Alfred Drayton,\Und,"RZ:helper, adopted, turns out to be cousin",|
206,ACa60,Nicholas Nickleby,Sybil Thorndyke,\Und,RZ:deceived mother,|
207,ACa60,Nicholas Nickleby,Stanley Holloway,\Und,RZ:traveling entertainer,|
208,ACa60,Nicholas Nickleby,Sally Ann Howes,\Und,"RZ:innocent sister, being bartered ""Kathy""",|
209,ACa60,Nicholas Nickleby,Jill Balcon,\Und,"RZ:love, forced to marry uncle to save father",|
210,ACa60,Nicholas Nickleby,Cyril Fletcher,\Und,RZ:rich wimp,|
211,ACa60,Nicholas Nickleby,Fay Compton,\Und,RZ:aunt,|
212,ACa60,Nicholas Nickleby,s a,\Und,"father, dies prior to marriage",|
213,ACa60,Nicholas Nickleby,s a,\Und,"maltreated servant, revenges",|
214,ACf10,Leave it to Beaver,Cameron Finley,\Und,"kid ""Beaver""",|
215,ACf10,Leave it to Beaver,Christopher McDonald,\Und,"RN:""Ward""",|
216,ACf10,Leave it to Beaver,Janine Turner,\Und,"RN:""June""",|
217,ACf10,Leave it to Beaver,Erik vonDetten,\Und,"RN:""Wally""",|
218,AcG10,"Fedora, or Piu Forte dell'Odio e Amore",Pina Menichelli,\Und,und,|
219,ACj110,I Can Take Care of Myself,Myron McCormick,\Und,piano player,|
220,ACj110,I Can Take Care of Myself,Frankie Darro,\Und,"mobster, punched",|
221,ACj110,I Can Take Care of Myself,Linda Lawson,\Und,"beautiful singer, insults mobster, killed",|
222,ACj110,I Can Take Care of Myself,Pat Harrington~jr.,\Und,"goon, pretends to sell life insurance",|
223,ACj110,I Can Take Care of Myself,Will Kuluva,\Und,"RZ:goon, pretends to be detective",|
224,ACj110,I Can Take Care of Myself,Leonard Weinrib,\Und,RZ:nightclub owner,|
225,ACj110,I Can Take Care of Myself,Edmon Ryan,\Und,und,|
226,ACj110,I Can Take Care of Myself,William Sharon,\Und,back-up pianist,|
227,ACj111,The Money,Robert Loggia,\Und,ingratiating bookie,|
228,ACj111,The Money,Doris Dowling,\Und,money-hungry girlfriend,|
229,ACj111,The Money,Will Kuluva,\Und,"father's friend, importer",|
230,ACj111,The Money,Wolfe Barzell,\Und,importer's collegue,|
231,ACj111,The Money,Monica May,\Und,importer's secretary,|
232,ACj112,The Man Who Found The Money,Arthur Hill,\Und,"gambler, finds and turns in money clip, accused",|
233,ACj112,The Man Who Found The Money,R.G. Armstrong,\Und,police captain,|
234,ACj112,The Man Who Found The Money,Rod Cameron,\Und,clip's owner,|
235,ACj113,The Kiss Off,Rip Torn,\Und,"falsely convicted, takes revenge",|
236,ACj113,The Kiss Off,Mary Munday,\Und,witness in tax office,|
237,ACj113,The Kiss Off,Ken Patterson,\Und,"teller, held up",|
238,ACj113,The Kiss Off,Florence McMichael,\Und,wife,|
239,ACj113,The Kiss-Off,Harry Swooger,\Und,"surly taxi-driver, witness",|
240,ACj113,The Kiss Off,Don Keefer,\Und,RZ:desk clerk,|
241,ACj113,The Kiss-Off,Frank Sully,\Und,RZ:cop,|
242,ACj113,The Kiss-Off,Bert Freed,\Und,"district attorney, concedes ""Cooper""",|
243,ACj114,Deathmate,Lee Phillips,\Und,handsome con-man,|
244,ACj114,Deathmate,Gia Scala,\Und,mistress,|
245,ACj114,Deathmate,Les Tremaye,\Und,"wimpy husband, suspect, murdered",|
246,ACj114,Deathmate,Ann Stanton,\Und,und,|
247,ACj114,Deathmate,Russell Collins,\Und,detective,|
248,ACj115,Gratitude,Peter Falk,\Und,"racketeer, fears death",|
249,ACj115,Gratitude,Paul Hartman,\Und,"devoted valet, shoots boss",|
250,ACj115,Gratitude,Edmund Haskin,\Und,"RZ:police luitenant, after gamblers",|
251,ACj115,Gratitude,John Dennis,\Und,RZ:racketeer,|
252,ACj115,Gratitude,Bert Rensen,\Und,und,|
253,ACj115,Gratitude,Karl Lukas,\Und,und,|
254,ACj115,Gratitude,Ada Stewart,\Und,gambles,|
255,ACj115,Gratitude,Phil Gordon,\Und,und,|
256,ACj115,Gratitude,Clegg Hoyt,\Und,und,|
257,ACj116,The Gloating Place,Susan Harrison,\Und,"fakes assault, strangled",|
258,ACj117,Servant Problem,John Emery,\Und,has to cook for party,|
259,ACj117,Servant Problem,Jo vanFleet,\Und,"boozy wife, shows up",|
260,ACj117,Servant Problem,Alice Frost,\Und,influential guest,|
261,ACj118,The Hat Box,Paul Ford,\Und,"professor, murder suspect",|
262,ACj118,The Hat Box,Billy Gray,\Und,cheating student,|
263,ACj118,The Hat Box,Frank Maxwell,\Und,"police agent, mollified",|
264,ACj119,Keep Me Company,Anne Francis,\Inn,bored wife,|
265,ACj119,Keep Me Company,Edmund Hashim,\Vil,"works late, robber",|
266,ACj119,Keep Me Company,Jack Ging,\Agt,detective,|
267,ACj120,Beta Delta Gamma,Duke Howard,\Und,beery student,|
268,ACj120,Beta Delta Gamma,Burt Brinckerhoff,\Und,challenged,|
269,ACj121,The Right Kind of Medicine,Robert Redford,\Und,"burglar, kills cop, clerk",|
270,ACj121,The Right Kind of Medicine,Russell Collins,\Und,"pharmacist, makes mistake in prescription",|
271,ACj121,The Right Kind of Medicine,George Clarke,\Und,unsavory doctor,|
272,ACj121,The Right Kind of Medicine,Joby Baker,\Und,"phramacist's clerk, shot",|
273,ACj121,The Right Kind of Medicine,Bernard Kates,\Und,witness,|
274,ACj121,The Right Kind of Medicine,King Calder,\Und,"police luitenant, gloats",|
275,ACj121,The Right Kind of Medicine,Bob Karnes,\Und,police sergeant,|
276,ACj121,The Right Kind of Medicine,Bert Remsen,\Und,cop with cough,|
277,ACj121,The Right Kind of Medicine,Harry Swoger,\Und,neighbor,|
278,ACj122,The Case of M.J.H.,Barbara Baxley,\Und,lonely assistamt,|
279,ACj122,The Case of M.J.H.,Ted Newton,\Und,psychiatrist boss,|
280,ACj122,The Case of M.J.H.,Robert Loggia,\Und,"petty crook, blackmails",|
281,ACj122,The Case of M.J.H.,Richard Gaines,\Und,"blackmailed, kills crook",|
282,ACj123,The Woman Who Wanted to Live,Lola Allbright,\Und,accosted,|
283,ACj123,The Woman Who Wanted to Live,Charles Bronson,\Und,escaped convict,|
284,ACj124,Apex,Mark Miller,\Und,unfaithful husband,|
285,ACj124,Apex,Vivienne Segal,\Und,"rich wife, poisoned",|
286,ACj124,Apex,Pat Breslin,\Und,"wife's friend, mistress, deceives lover, killed",|
287,ACj125,The Big Kick,Brian Hutton,\Und,beatnik,|
288,ACj125,The Big Kick,Anne Helm,\Und,beatnik,|
289,ACj125,The Big Kick,Wayne Rogers,\Und,"older guy, deceives, kills",|
290,ACj126,The Night of the Owl,Brian Keith,\Und,"protective forest ranger, blackmailed",|
291,ACj126,The Night of the Owl,Patricia Breslin,\Und,wife,|
292,ACj126,The Night of the Owl,Claudia Cravey,\Und,adopted,|
293,ACj127,House Guest,Robert Sterling,\Und,rescuer,|
294,ACj127,House Guest,Billy Mumy,\Und,saved son,|
295,ACj127,House Guest,MacDonald Carey,\Und,father,|
296,ACj127,House Guest,Peggy McKay,\Und,mother,|
297,ACj127,House Guest,s a,\Und,"camper, in on scam",|
298,ACj128,Last Seen Wearing Bluejeans,Michael Wilding,\Und,british tourist,|
299,ACj128,Last Seen Wearing Bluejeans,Anna Lee,\Und,wife,|
300,ACj128,Last Seen Wearing Bluejeans,Katherine Crawford,\Und,"daughter, becomes witness",|
301,ACj128,Last Seen Wearing Bluejeans,Randy Boone,\Und,helpful rancher,|
302,ACj128,Last Seen Wearing Bluejeans,s a,\Und,crooked cafe owner,|
303,ACl10,"Rita, Sue and Bob Too",George Costigan,\Und,middle-class Don Juan,|
304,ACl10,"Rita, Sue and Bob Too",Siobhan Finneran,\Und,"teenager, lover ""Rita""",|
305,ACl10,"Rita, Sue and Bob Too",Michelle Holmes,\Und,"teenager, lover ""Sue""",|
306,ACl10,"Rita, Sue and Bob Too",Lesley Sharp,\Und,und,|
307,ACl10,"Rita, Sue and Bob Too",Kulvinder Ghir,\Und,und,|
308,ACt10,Fiend Without a Face,Marshall Thompson,\Und,"scientist, threatened",|
309,ACu15,"Murder, Obliquely",Laura Dern,\Und,"loves Dwight ""Annie""",|
310,ACu15,"Murder, Obliquely",Alan Rickman,\Und,"engaged ""Dwight: """,|
311,ACu15,"Murder, Obliquely",Diane ladd,\Und,"fiancee, disappearsx",|
312,ACu20,The Little Princess,Liesel Mathews,\Und,"exuberant girl ""Sara Crewes""",|
313,ACu20,The Little Princess,Eleanor Brown,\Und,"headmistress ""Miss Minchin""",|
314,ACu23,Great Expectations,Gwyneth Paltrow,\Und,"ccold, beautiful duchess Estella""",|
315,ACu23,Great Expectations,Ethan Hawke,\Und,"painter ""Finn""",|
316,ACu23,Great Expectations,Robert deNiro,\Und,benefactor,|
317,ACu23,Great Expectations,Anne Bancroft,\Und,und,|
318,ACv10,Therese,Catherine Mouchet,\Und,"saint ""Theresa""",|
319,ACv10,Therese,Aurore Prieto,\Und,und,|
320,ACv10,Therese,Sylvie Habault,\Und,und,|
321,ACx10,Repo Man,Harry Dean Stanton,\Und,sociopath,|
322,ACx10,Repo Man,Emilio Estevez,\Und,sociopath,|
323,ACx10,Repo Man,Tracey Walker,\Und,acidhead philosopher,|
324,ACx10,Repo Man,Vonetta McGee,\Und,"RN:""Marlene""",|
325,ACx10,Repo Man,Fox Harris,\Und,lobotomized scientist,|
326,ACx12,Sid and Nancy,Gary Oldman,\Und,"punk rocker, destroyed ""Sid Vicious""",|
327,ACx12,Sid and Nancy,Chloe Webb,\Und,American girlfriend,|
328,ACx12,Sid and Nancy,David Hayman,\Und,und,|
329,ACy10,Les Amants de Verone,Pierre Brasseur,\Und,"star, lover",|
330,ACy10,Les Amants de Verone,Anouk Aimee,\Und,"stand-in starlet, love",|
331,ACy10,Les Amants de Verone,Serge Reggiani,\Und,"studio carpenter, lover",|
332,ACy14,Justice est Fait,Claude Noiller,\Und,accused of murder of her lover,|
333,ACy14,Justice est Fait,Valentine Tessier,\Und,juror,|
334,ACy20,Eye for an Eye,Curt Jurgens,\Und,doctor,|
335,ACy20,Eye for an Eye,Folco Lulli,\Und,demented,|
336,ACy20,Eye for an Eye,Lea Padovani,\Und,"RZ:wife, dies",|
337,ACy38,Verdict,Jean Gabin,\Und,"judge, kidnapped",|
338,ACy38,Verdict,Sophia Loren,\Und,gangster's widow,|
339,ACy38,Verdict,Henri Garcin,\Und,"gangster's son, accused",|
340,ACy38,Verdict,Julien Bertheau,\Und,und,|
341,AD40,Aerograd,Semyon Shaigada,\Und,guard,|
342,AD40,Aerograd,Stepan Shkurat,\Und,und,|
343,AD40,Aerograd,Sergei Stolyarov,\Und,und,|
344,ADA10,The Memory of the Other,Lyda Bonelli,\Und,und,|
345,ADA10,The Memory of the Other,Mario Bonnard,\Und,und,|
346,AdB21,The Constant Nymph,Ivor Novello,\Und,composer,|
347,AdB21,The Constant Nymph,Mary Clare,\Und,und,|
348,AdB21,The Constant Nymph,Mabel Poulton,\Und,und,|
349,AdB21,The Constant Nymph,Benita Hume,\Und,und,|
350,ADg10,The Moneytree,Christopher Dienstag,\Und,grows weed,|
351,ADg10,The Moneytree,Monica Caldwell,\Und,worried girlfriend,|
352,AdL6,Nine 1/2 Weeks,Kim Basinger,"\Lov, Vic","art gallery assistant, divorcee, falls ""Elizabeth""",|
353,AdL6,Nine 1/2 Weeks,Mickey Rourke,\Lov,"weird enigmatic arbitrageur, plays with sex, emotions ""John""",|
354,AdL6,Nine 1/2 Weeks,Margaret Whitton,\Sdk,"sensible collegue, sexy friend",|
355,AdL6,Nine 1/2 Weeks,Karen Young,\Sdk,collegue,|
356,AdL6,Nine 1/2 Weeks,Roderick Cook,\Und,critic,|
357,AdL6,Nine 1/2 Weeks,David Margulin,\Und,distinguished artist,|
358,AdL6,Nine 1/2 Weeks,Cyntia Cruz,\Und,whore,|
359,AdL6,Nine 1/2 Weeks,Raynor Scheine,\Und,spaced-out flower delivery boy,|
360,AdL6,Nine 1/2 Weeks,Olek Krup,\Und,"ex-husband, takes up with friend",|
361,AdL6,Nine 1/2 Weeks,Dwight West,\Und,und,|
362,AdL5,Flashdance,Jennifer Beale,\Und,"welder, dancer",|
363,AdL5,Flashdance,Michael Nouri,\Und,und,|
364,AdL5,Flashdance,Lilia Skala,\Und,und,|
365,AdL5,Flashdance,Sunny Johnson,\Und,und,|
366,AdL5,Flashdance,Kyle T. Hefner,\Und,und,|
367,AdL5,Flashdance,Belinda Bauer,\Und,und,|
368,AdL5,Flashdance,Irine Cara,\Und,singer,|
369,AdL10,Fatal Attraction,Michael Douglas,\Und,"married lawyer, scared, overwhelmed",|
370,AdL10,Fatal Attraction,Glenn Close,\Und\Vmp,"determined vamp, book editor",AAN
371,AdL10,Fatal Attraction,Anne Archer,\Und,beautiful homebody wife,|
372,AdL10,Fatal Attraction,Ellen Hamilton Latzen,\Und,daughter,|
373,AdL10,Fatal Attraction,Stuart Pankin,\Und,clowning pal,|
374,AdL14,Jacob's Ladder,Tim Robbins,\Und,psychotic veteran,|
375,AdL14,Jacob's Ladder,Elizabeth Pena,\Und,girlfriend,|
