,Title,Year,Director,Production,Studio,Genre,Award
33,Breakdown,1955,Hitchcock,Hitchcock,"Shamley,CBS",Suspense,
34,The Case of Mr.~Pelham,1955,Hitchcock,Hitchcock,"Shamley,CBS",Suspense,
35,Back For Christmas,1956,Hitchcock,Hitchcock,"Shamley, CBS",Suspense,
36,Wet Saturday,1956,Hitchcock,Hitchcock,"Shamley,CBS",Suspense,
37,Mr.~Blanchhard's Secret,1956,Hitchcock,Hitchcock,"Shamley,CBS",Suspense,
38,One More Mile To Go,1957,Hitchcock,Hitchcock,"Shamley,CBS",Suspense,
39,Four O'Clock,1957,Hitchcock,Hitchcock,"Shamley, NBC",Suspense,
40,The Perfect Crime,1957,Hitchcock,"Hitchcock, J.Harrison","Shamley,CBS",Suspense,
41,Lamb To The Slaughter,1958,Hitchcock,Hitchcock,"Shamley,CBS",Suspense,
42,A Dip In The Pool,1958,Hitchcock,"Hitchcock,J.Harrison","Shamley,CBS",Suspense,
43,Poison,1958,Hitchcock,"Hitchcock,J.Harrison","Shamley,CBS",Suspense,
44,Banquo's Chair,1959,Hitchcock,"Hitchcock, J.Harrison","Shamley,CBS",Suspense,
45,Arthur,1959,Hitchcock,"Hitchcock, J.Harrison","Shamley,CBS",Suspense,
46,The Crystal Trench,1959,Hitchcock,"Hitchcock, J.Harrison","Shamley,CBS",Suspense,
47,Incident At A Corner,1960,Hitchcock,"Hitchcock, J.Harrison","Shamley,NBC",Suspense,
48,Mrs.~Bixby And The Colonel's Coat,1960,Hitchcock,"Hitchcock, J.Harrison","Shamley, NBC",Suspense,
49,The Horseplayer,1961,Hitchcock,"Hitchcock,J.Harrison","Shamley,CBS",Suspense,
50,Bang! You're Dead,1961,Hitchcock,"Hitchcock,J.Harrison","Shamley,CBS",Suspense,
51,I Saw The Whole Thing,1962,Hitchcock,"Hitchcock,J.Harrison","Shamley,CBS",Suspense,
52,The Edison Kinetopic Record of A Sneeze,1893,,Dickson,PN:Thomas A. Edison,bws,Docu
53,"Terrible Teddy, the Grizzly King",1901,Dickson,PN:Thomas A. Edison,Edison,Comedy,aw
54,La Premiere Seance du Salon Indien au Grand Caf\'e,1895,A.Lumiere,A.Lumiere,Lumiere,,
55,La Sortie des Usines Lumi\`ere,1895,A.Lumiere,PN:,Lumiere,Documentary,
56,Arriv\'ee d'un train en G\^are de la Ciatat,1895,A.Lumiere,PN:,Lumiere,Documentary,
57,Le Gouter de B\'eb\'e,1895,A.Lumiere,PN:,Lumiere,,
58,L'Arroseur arross\'e,1895,A.Lumiere,PN:,Lumiere,Comedy,
59,Barque Quittant le Port,1895,A.Lumiere,PN:,Lumiere,Documentary,
60,Boules,1895,A.Lumiere,PN:,Lumiere,,
61,L'assissinatat du Duc de Guise,1908,A.Lumiere,PN:,Lumiere,Actn,
62,Jack and the Beanstalk,1902,E.S.Porter,,Edison,Comedy,
63,Uncle Tom's Cabin,1902,E.S.Porter,,Edison,Comedy,
64,Life of an American Fireman,1903,E.S.Porter,,Edison,West,
65,The Great Train Robbery,1903,E.S.Porter,,Edison,West,H***
66,The Little Train Robbery,1905,E.S.Porter,,Edison,,
67,The Kleptomaniac,1905,E.S.Porter,,Edison,,
68,The Count of Monte Christo,1912,E.S.Porter,Zukor,Famous,Drama,
69,The Prisoner of Zenda,1912,E.S.Porter,Zukor,Famous,Drama,
70,His Neighbor's Wife,1912,E.S.Porter,Zukor,Famous,Drama,
71,Tess of the d'Ubervilles,1912,E.S.Porter,Zukor,Famous,Drama,
72,An American Citizen,1913,E.S.Porter,Zukor,Famous,,
73,A Good Little Devil,1913,E.S.Porter,Zukor,Famous,,
74,In The Bishop's Carriage,1913,E.S.Porter,Zukor,Famous,,
75,Caprice,1913,E.S.Porter,Zukor,Famous,,
76,Hearts Adrift,1913,E.S.Porter,Zukor,Famous,,
77,Tess of The Storm Country,1914,E.S.Porter,Zukor,Famous,Drama,
78,L'Escamontage d'une Dame,1896,Melies,PN:,SL:\Fr,,
79,L'Homme orchestre,1900,Melies,PN:,SL:\Fr,,|
80,Cinderella,1900,Melies,PN:,SL:\Fr,Fant,|
81,Le voyage dans la lune,1902,Melies,PN:,SL:\Fr,ScFi,
82,Danseuse Microscopique,1902,Melies,PN:,SL:\Fr,ScFi,
83,An Impossible Voyage,1904,Melies,PN:,SL:\Fr,Ctxx,
84,L'Homme a la Tete en Caoutchouc,1906,Melies,PN:,SL:\Fr,Fant,
85,The Magic Sword or A Medieval Mystery,1891,Booth,PN:,SU:,Fant,
86,La Passion,1902,Pathe,Pathe,Pathe,,
87,Les Mis\'erables,1909,Pathe,PN:,SU:,Drama,
88,The Maniac's Guillotine,1902,Haggar,Haggar,SU:,Horror,
89,The Life of Charles Pierce,1905,Haggar,Haggar,SU:,Bio-Pic,
90,Kit Carson,1903,McCutcheon,PN:,Biograph,Advt,aw
91,Parsifal,1904,Edison,PN:Edison,Edison,"Musical, Bio-Pic",
92,The Wagon Trails,1906,Cruze,PU:,SU:,Advt,
93,Too Many Millions,1918,Cruze,PN:,SU:,CTxx,aw
94,The Covered Wagon,1923,Cruze,PN:,SU:,West,aw
95,Hollywood,1918,Cruze,PN:,SU:,CTxx,aw
96,Ruggles of Red Gap,1918,Cruze,PN:,SU:,West,aw
97,Beggars on Horseback,1925,Cruze,PN:,SU:,West,aw
98,Pony Express,1925,Cruze,PN:,SU:,West,aw
99,Old Ironsides,1926,Cruze,PN:,SU:,Advt,aw
100,Washington Merry Go Round,1932,Cruze,PN:,SU:,CTxx,aw
101,I Cover the Waterfront,1933,Cruze,PN:,SU:,CTxx,aw
102,Sutter's Gold,1936,Cruze,PN:,SU:,CTxx,aw
103,The Dead Man's Claim,1912,Spoor,Spoor,Essanay,West,
104,The Last Days of Pompeii,1908,Maggi,PN:,SL:Italy,Historic,
105,Nero and the Burning of Rome,1909,Maggi,PN:Arturo Ambrosio,Ambrosio,Historic,
106,Autumn Sunset Dream,1911,Maggi,PN:,Ambrosio,Drama,
107,The Ship with the Lions,1912,Maggi,PN:,Ambrosio,Drama,
108,The Lion of Venice,1914,Maggi,PN:,Ambrosio,Drama,
109,At the French Ball,1908,Griffith,PN:,SU:,Ctxx,aw
110,Calamitous Elopement,1908,Griffith,PN:,SU:,Ctxx,aw
111,The Adventures of Dolly,1908,Griffith,PN:,SU:,Ctxx,aw
112,For the Love of Gold,1908,Griffith,PN:,SU:,Ctxx,aw
113,The Call of the Wild,1908,Griffith,PN:,SU:,Ctxx,aw
114,Lines of White on a Sullen Sea,1908,Griffith,PN:,SU:,Ctxx,aw
115,The Sealed Room,1909,Griffith,PN:,SU:,Drama,aw
116,A Corner in Wheat,1909,Griffith,PN:,SU:,Drama,
117,The Lonely Villa,1909,Griffith,PN:,SU:,Drama,aw
118,The Life of Edgar Allen Poe,1909,Griffith,PN:,SU:,Bio-Pic,
119,The Curtain Pole,1909,Griffith,PN:,SU:,Comedy,
120,Song of the Wildwood Flute,1910,Griffith,PN:,SU:,West,
121,Love Among the Roses,1910,Griffith,PN:,SU:,Ctxx,aw
122,The Lonedale Operator,1911,Griffith,PN:,SU:,Ctxx,aw
123,Paradise Lost,1911,Griffith,PN:,SU:,Ctxx,aw
124,Enoch Arden,1911,Griffith,PN:,SU:,Drama,aw
125,The Cowboy Doctor,1911,Griffith,PN:,SU:,Ctxx,aw
126,Man's Genesis,1912,Griffith,PN:,SU:,Ctxx,aw
127,The Musketeers of Pig Alley,1912,Griffith,PN:,SU:,Ctxx,aw
128,The Raven,1912,Griffith,PN:,SU:,Bio-Pic,
129,The New York Hat,1912,Griffith,PN:,SU:,CTxx,
130,The Battle at Elderbush Gulch,1913,Griffith,PN:,Biograph,West,
131,Judith of Bethulia,1913,Griffith,PN:,Biograph,Drama,
132,The Clansman,1915,Griffith,PN:,D.W.Griffith,Epic,"NFR, CC\#8"
133,Intolerance,1916,Griffith,Griffith,SL:USA,"Epic, Drama",H***
134,Hearts of the World,1918,Griffith,PN:,SU:,Ctxx,aw
135,The Greatest Question,1919,Griffith,PN:,SU:,Drama,aw
136,Broken Blossoms,1919,Griffith,Griffith,U.A.,Drama,H**
137,True Heart Susie,1919,Griffith,,SU:,Romantic,
138,Way Down East,1920,Griffith,Griffith,Griffith,Drama,H**
139,One Exciting Night,1922,Griffith,PN:,SU:,Ctxx,aw
140,Orphans of the Storm,1922,Griffith,PN:,U.A.,Epic,H*
141,America,1924,Griffith,Griffith,U.A.,"West,Drama",
142,Isn't life Wonderful,1924,Griffith,PN:,Griffith,"Drama,Documentary",
143,Screen Snapshots,1926,Griffith,PU:,SU:,Ctxx,
144,Abraham Lincoln,1930,Griffith,PN:Joseph Schenck,U.A.,Bio-Pic,W50
145,Romeo and Juliet,1908,Unknown2,PN:,SL:USA,Romantic,aw
146,Romeo and Juliet,1908,Unknown2,PN:,Lang(\It),Romantic,aw
147,Romeo and Juliet,1908,Unknown2,PN:,SL:\GB,Romantic,aw
148,Romeo and Juliet,1911,Unknown2,PN:,SL:USA,Romantic,aw
149,Romeo and Juliet,1911,Unknown2,PN:,SL:\It,Romantic,aw
150,Romeo and Juliet,1916,Unknown2,PN:,SU:,Romantic,aw
151,Romeo and Juliet,1916,Unknown2,PN:,SU:,Romantic,aw
152,Romeo and Juliet,1996,Unknown2,PU:,SU:,Romantic,aw
153,Le Binetoscope,1909,Cohl,PN:,Gaumont,Cart,aw
154,"Marin Valiero, Doge of Venice",1909,deLiguoro,PN:,SaffiComerio,Historic,aw
155,The Pilgrim's Progress,1912,Caserini,PN:,Ambrosio,Drama,aw
156,Macbeth,1913,Caserini,PN:,Cines,Drama,aw
157,Love Everlasting,1913,Caserini,PN:,Artistica Gloria,Drama,aw
158,Gertie the Dino,1909,Mackay,PN:,SU:,Cart,aw
159,All on Account of Milk,1910,F.Powell,PN:,Biograph,Romantic,aw
160,The Merchant of Venice,1910,loSavio,PN:,Film d'Arte Italia,Drama,aw
161,Life of Moses,1910,Blackton,PN:,Vitagraph,Biop,aw
162,The Old Curiosity Shop,1913,Bentley,PN:,SU:,Drama,aw
163,The Old Curiosity Shop,1921,Bentley,PN:,SU:,Drama,aw
164,Young Woodley,1930,Bentley,PN:,SU:,Ctxx,aw
165,Hobson's Choice,1931,Bentley,PN:,BIP,prc,Dram
166,Those Were the Days,1934,Bentley,PN:,SU:,Ctxx,aw
167,The Old Curiosity Shop,1935,Bentley,PN:,SU:,,
168,Lucky to Me,1939,Bentley,PN:,SU:,Ctxx,aw
169,Salome,1910,Falena,PN:,Film d'Arte Italiana,Drama,aw
170,Francesca di Rimini,1911,Falena,PN:,"Film d'Arte Italiana, Film d'Art Paris",Romantic,aw
171,Dante's Inferno,1911,Padovan,PN:,Milano Films,Ctxx,aw
172,Homer's Odyssey,1911,Padovan,PN:,Milano Films,Advt,aw
173,The Vampire Dancer,1911,Blom,PN:,Great Northern,Drama,aw
174,L'Enfant de Paris,1913,Perret,PN:,SU:,Ctxx,aw
175,Clios and Phyletes,1911,Mentasti,PN:,Itala,Ctxx,aw
176,Little Dove's Romance,1911,Th.Ince,PN:,Bison,West,
177,Battle of the Red Men,1912,Th.Ince,PN:,Bison,West,H-
178,Custer's Last Fight,1912,Th.Ince,PN:,SU:,CTxx,H-
179,The Death Mask,1914,Th.Ince,Th.Ince,Kay Bee Columbia,West,
180,Civilization,1915,Th.Ince,PN:none,Triangle,Fant,H***
181,Human Wreckage,1924,Th.Ince,PN:,SU:,CTxx,H-
182,Custer's Last Fight,1925,Th.Ince,Th.ince,Quality Amusememt Inc.,West,
183,The Aviator's Generosity,1911,Gad,PN:,Great Northern,Drama,aw
184,A Tale of Two Cities,1911,Humphrey,PN:,SU:,Drama,aw
185,Maiden and Men,1912,Dwan,PN:,AMF,Drama,
186,Their Hero Son,1912,Dwan,PN:,AMF,Drama,
187,Robin Hood,1922,Dwan,Fairbanks~sr,SU:,Advt,H**
188,The Iron Mask,1922,Dwan,Fairbanks~sr,U.A.,Advt,
189,Manhandled,1924,Dwan,PN:William leBaron,Paramount,Romantic,
190,Heidi,1937,Dwan,R.Griffith,Fox,Romantic,"H*csd, Austria"
191,Rebecca of Sunnybrook Farm,1938,Dwan,R.Griffith,Fox,Drama,H
192,Suez,1938,Dwan,D.Markey,Fox,,H*
193,The Three Musketeers,1939,Dwan,R.Griffith,Fox,Actn,"H**, [47]"
194,Around the World,194e,Dwan,Dwan,RKO,Musical,aw
195,Sands of Iwo Jima,1949,Dwan,PN:Edward Grainger,SU:,Actn,aw
196,Cattle Queen of Montana,1954,Dwan,Bogeaus,RKO,West,H
197,Passion,1954,Dwan,Bogeaus,RKO,West,
198,Tennessee's Partner,1954,Dwan,Bogeaus,RKO,West,
199,Pearl of the South Pacific,1955,Dwan,Bogeaus,RKO,Advt,
200,Slightly Scarlet,1956,Dwan,,RKO,Drama,
201,The Ghost Breaker,1922,A.E.Green,PN:,Paramount,,
202,Baby Face,1933,A.E.Green,PN:,SU:,Drama,
203,I Loved a Woman,1933,A.E.Green,Blanke,Warners,,H*
204,Dangerous,1935,A.E.Green,PN:Harry Joe Brown,Warners,Drama,H*
205,The Gracie Allen Murder Case,1935,A.E.Green,PN:,SU:,Myst,
206,The Jolson Story,1946,A.E.Green,PN:Sidney Skolsky,Columbia,"Bio-Pic,Musical",H****
207,The Eddie Cantor Story,1953,A.E.Green,PN:Sidney Skolsky,Warners,"Bio-Pic,Musical",H
208,Step On It,1922,Conway,PN:,SU:,Ctxx,aw
209,Bringing Up Father,1928,Conway,PN:,SU:,Comedy,|
210,Our Modern Maidens,1929,Conway,PN:,SU:,Romantic,aw
211,The Unholy Three,1930,Conway,PN:,SU:,Ctxx,aw
212,Just a Gigolo,1931,Conway,,MGM,Comedy,H
213,Ars\`ene Lupin,1932,Conway,PN:,SU:,Ctxx,aw
214,Red-headed Woman,1932,Conway,PN:,SU:,Drama,aw
215,Viva Villa,1934,Conway,PN:,MGM,Epic,aw
216,A Tale of Two Cities,1935,Conway,PN:Selznick,MGM,Drama,"H**, AAN, [47]"
217,Libeled Lady,1936,Conway,PN:Lawrence Weingarten,MGM,Romantic,"F77,H**, AAN"
218,Sarasota,1937,Conway,PN:,SU:,Ctxx,aw
219,A Yank at Oxford,1938,Conway,PN:,SU:,Ctxx,aw
220,Too Hot To Handle,1938,Conway,PN:,SU:,Ctxx,aw
221,Lady of the Tropics,1939,Conway,PN:,SU:,Ctxx,aw
222,Boom Town,1940,Conway,PN:,SU:,Ctxx,aw
223,Love Crazy,1940,Conway,PN:,SU:,Ctxx,aw
224,Honky Tonk,1940,Conway,PN:,SU:,Ctxx,aw
225,Dragon Seed,1944,Conway,PN:,SU:,Ctxx,aw
226,The Hucksters,1947,Conway,PN:,SU:,Ctxx,aw
227,Comedy of the absurd,1912,Durand,PN:,Gaumont,Comedy,aw
228,Alias Jimmy Valentine,1915,M.Tourneur,PN:World,SU:,RomCom,aw
229,The Pride of the Clan,1917,M.Tourneur,PN:,SU:,Drama,aw
230,Poor Little Rich Girl,1917,M.Tourneur,PN:,SU:,Drama,aw
231,Au nom de la loi,1931,M.Tourneur,PU:,SU:,RomCom,
232,Queen Elizabeth,1912,Mercanton,PN:,"Engadine Amusement Co, SL:\Fr, SD:Famous",Bio-Pic,
233,How Men Propose,1913,Weber,PN:,Crystal,Drama,
234,Where are My Children,1916,Weber,PN:,Universal,Drama,
235,Where are My Children,1916,Weber,PN:,Universal,Drama,
236,The Dumb Girl of Portici,1916,Weber,PN:,Universal,|,
237,"The Juvenile Dancer Supreme, Lena Basquette in a Group of Classical Dances",1916,Weber,PN:,Universal,|,
238,The Dance of Love,1920,Weber,PN:,Universal,|,
239,Shoes,1920,Weber,PN:,Universal,|,
240,Nelson,1919,Elvey,PN:,SU:,Ctxx,aw
241,The Elusive Pimpernel,1912,Elvey,PN:,SU:,CTxx,
242,The Hound of the Baskervilles,1921,Elvey,PN:,SU:,CTxx,
243,Balalava,1928,Elvey,PN:,SU:,Ctxx,aw
244,The School for Scandal,1930,Elvey,PN:,SU:,Ctxx,aw
245,The Lodger,1932,Elvey,PN:,SU:,Suspense,
246,The Tunnel,1934,Elvey,PN:,SU:,Ctxx,aw
247,The Spider,1940,Elvey,PN:Victor M. Greene,Admiral,Suspense,H
248,Beware of Pity,1946,Elvey,PN:,SU:,Ctxx,aw
249,My Wife's Lodger,1952,Elvey,PN:,SU:,Ctxx,aw
250,Dough and Dynamite,1914,Mack~Sennett,PN:Mack~Sennett,Keystone,Comedy,aw
251,Fatty and Mabel at the San Diego Exposition,1915,Mack~Sennett,PN:Mack~Sennett,Keystone,Comedy,aw
252,Fatty and Mabel's Simple Life,1915,Mack~Sennett,PN:Mack~Sennett,Keystone,Comedy,aw
253,Vampyren,1912,M.Stiller,PN:,SU:,Ctxx,aw
254,Sir Arne's Treasure,1919,M.Stiller,PN:,SU:,Ctxx,aw
255,Erotikon,1920,M.Stiller,PN:,Svensk Film Industri,"Comedy, Drama",H*
256,The Saga of Gosta Berlin,1924,M.Stiller,PN:,SU:,Romantic,
257,The Blizzard,1926,M.Stiller,PN:,SL:USA,,
258,The Temptress,1927,M.Stiller,PN:,MGM,Drama,H*
259,Hotel Imperial,1927,M.Stiller,PN:,SU:,CTxx,
260,Street of Sin,1928,M.Stiller,PN:,SU:,Ctxx,aw
261,From the Manger to the Cross,1912,Olcott,PN:,Kalem,Historic,aw
262,Monsieur Beaucaire,1924,Olcott,PN:,Zokor-Lasky,Historic,aw
263,Tradgardsmastaren,1912,Seastrom,PN:,Svenska Biografteaten,Drama,aw
264,The Phantom Carriage,1920,Seastrom,PN:,SU:,Ctxx,aw
265,He Who gets Slapped,1924,Seastrom,PN:,SU:,Ctxx,aw
266,The Scarlet Letter,1926,Seastrom,PN:,MGM,Drama,aw
267,The Divine Woman,1927,Seastrom,PN:,MGM,Bio-Pic,H*
268,The Wind,1927,Seastrom,PN:Lars Hanson,MGM,Drama,H***
269,Within the Law,1912,Unknown12,PU:,SU:,RomCom,
270,Within the Law,1917,Unknown12,PU:,SU:,RomCom,
271,Within the Law,1923,Unknown12,PU:,SU:,RomCom,
272,The Last Days of Pompeii,1913,Rodolfo,PN:,Ambrosio,Drama,aw
273,Il Cadavere Vivente,1913,Oxilia,PN:,Savoia,Ctxx,aw
274,Rhapsodia Satanica,1917,Oxilia,PN:,Cines,Romantic,aw
275,"Fedora, or Piu Forte dell'Odio e Amore",1913,Gonsalvi,PN:,Aquila,DRam,aw
276,Blade O'Grass,1915,George,PN:,Edison,West,aw
277,California,,1913,D:DeMille,PN:Lasky,n.a.,Musc
278,The Squaw Man,1913.0,DeMille,PN:Lasky,Feature Play,West,aw
279,The Virginian,1914.0,DeMille,PN:Lasky,Feature Play,Drama,aw
280,Brewster's Millions,1914.0,DeMille,Lasky,Feature Play,Drama,aw
281,Rose of the Rancho,1914.0,DeMille,Lasky,Feature Play,Drama,aw
282,The Ghost Breaker,1914.0,DeMille,Lasky,Feature Play,Drama,aw
283,Call of the North,1915.0,DeMille,PN:,SU:,CTxx,
284,The Girl of the Golden West,1915.0,DeMille,,"Feature Play, Paramount",Drama,
285,The Wild Goose Chase,1915.0,DeMille,PN:,SU:,Ctxx,aw
286,The Warrens of Virginia,1915.0,DeMille,PN:,SU:,Ctxx,aw
287,The Arab,1915.0,DeMille,PN:,SU:,Ctxx,aw
288,The Goose Girl,1915.0,DeMille,PN:,SU:,Ctxx,aw
289,Carmen,1915.0,DeMille,PN:,SU:,Drama,
290,Maria Rosa,1915.0,DeMille,PN:,SU:,CTxx,
291,The Captive,1915.0,DeMille,PN:,Feature Play,Drama,
292,The Cheat,1915.0,DeMille,PN:,Feature Play,Drama,aw
293,The Trail of the Lonesome Pine,1916.0,DeMille,PN:,SU:,Drama,aw
294,"Joan, the Woman",1917.0,DeMille,PN:,SU:,Drama,aw
295,The Squaw Man,1918.0,DeMille,PN:,SU:,West,aw
296,The Affairs of Anatol,1921.0,DeMille,PN:,Paramount,Romantic,aw
297,Adam's Rib,1923.0,DeMille,PN:,MGM,Ctxx,aw
298,The Ten Commandments,1923.0,DeMille,DeMille,SU:,Epic,
299,The King of Kings,1927.0,deMille,deMille,Path\'e,Epic,H**
300,Madame Satan,1930.0,DeMille,PN:,SU:,,
301,The Godless Girl,1931.0,DeMille,PN:,SU:,,
302,The Squaw Man,1931.0,DeMille,PN:,MGM,Drama,aw
303,The Sign of the Cross,1932.0,DeMille,DeMille,Paramount,Epic,H***
304,Cleopatra,1934.0,DeMille,deMille,Paramount,Drama,"AAN,H**"
305,The Crusades,1935.0,DeMille,PN:,SU:,Ctxx,aw
306,The Plainsman,1936.0,DeMille,Zukor,S:Paramount,West,
307,The Buccaneer,1938.0,DeMille,PN:,SU:,"Epic, Advt",-H
308,Union Pacific,1939.0,DeMille,deMille,Paramount,,H**
309,Union Pacific,1939.0,DeMille,deMille,Paramount,,H**
310,Reap the Wild Wind,1942.0,DeMille,PN:,SU:,Epic,aw
311,Unconquered,1947.0,DeMille,deMille,Paramount,Epic,H
312,The Greatest Show on Earth,1952.0,DeMille,PN:,Paramount,Epic,AA
313,The Ten Commandments,1956.0,DeMille,PN:Henry Wilcoxon,Paramount,Epic,"AAN, H*"
314,Anthony and Cleopatra,1913,Guazzoni,PN:,Cines,Drama,aw
315,The Perils of Pauline,1913,Seitz,PN:,SU:,Drama,aw
316,The Fatal Ring,1917,Seitz,PN:,SU:,Drama,aw
317,Velvet Fingers,1921,Seitz,PN:,SU:,Drama,aw
318,The Sky Ranger,1925,Seitz,PN:,SU:,Drama,aw
319,The Vanishing American,1925,Seitz,PN:,Paramount,Documentary,aw
320,The Woman in his Life,1935,Seitz,PN:,MGM,Drama,aw
321,The Last of the Mohicans,1936,Seitz,PN:Edward Small,Reliance,"Drama,West",H
322,A Family Affair,1936,Seitz,PN:,MGM,Drama,H
323,You're Only Young Once,1938,Seitz,PN:,MGM,Drama,H
324,Judge Hardy's Children,1938,Seitz,PN:,MGM,Drama,H
325,Love Finds Andy Hardy,1938,Seitz,PN:,MGM,Drama,H
326,Out West With the Hardys,1938,Seitz,PN:,MGM,Drama,H
327,6000 Enemies,1939,Seitz,PN:Lucien Hubbard,MGM,Drama,H
328,The Hardys Ride High,1939,Seitz,PN:,MGM,Drama,H
329,Judge Hardy and Son,1939,Seitz,PN:,MGM,Drama,H
330,Andy Hardy Meets a Debutante,1939,Seitz,PN:,MGM,Comedy,H
331,Kit Carson,1940,Seitz,PN:,MGM,West,aw
332,Sky Murder,1940,Seitz,PN:,MGM,Drama,aw
333,Andy Hardy's Private Secretary,1941,Seitz,PN:,MGM,Comedy,H
334,Life Begins for Andy Hardy,1941,Seitz,PN:,MGM,Comedy,H
335,China Caravan,1942,Seitz,PN:,MGM,Drama,H-
336,The Courtship of Andy Hardy,1942,Seitz,PN:,MGM,Comedy,H
337,Andy Hardy's Double Life,1942,Seitz,PN:,MGM,Comedy,H
338,Andy Hardy's Blonde Trouble,1944,Seitz,PN:,MGM,Comedy,H
339,East Lynne,1913,Haldane,William George Barker,SU:,Drama,aw
340,Raja Harishchandra,1913,Phalke,PN:,SU:,Drama,aw
341,Ivanhoe,1913,Brenon,PN:,SU:,Actn,aw
342,Neptune's Daughter,1914,Brenon,PN:,Universal,Fant,aw
343,The Kreuzer Sonata,1913,Brenon,PN:,SU:,Ctxx,aw
344,War Brides,1916,Brenon,PN:,SU:,Ctxx,aw
345,The Passing of the Third Floor Back,1918,Brenon,PN:,SU:,Ctxx,aw
346,The Sign on the Door,1921,Brenon,PN:,SU:,Ctxx,aw
347,The Spanish Dancer,1923,Brenon,PN:,SU:,Ctxx,aw
348,Peter Pan,1924,Brenon,,Paramount,Romantic,aw
349,Beau Geste,1926,Brenon,Brenon,Paramount,Actn,H**
350,Beau Ideal,1931,Brenon,PN:William leBaron,Paramount,Actn,H
351,The White Goddess of the Wangora,1913,Schomburgk,Schomburgk,", SD:MPSA",Drama,
352,The Heroes of Paratau,1914,Schomburgk,Schomburgk,", SD:MPSA",Drama,
353,The Outlaw of the Sudu Mountains,1914,Schomburgk,Schomburgk,", SD:MPSA",Drama,
354,Odd Man Out,1914,Schomburgk,Schomburgk,", SD:MPSA",Drama,
355,Deutsche bin Sudan,1914,Schomburgk,Schomburgk,SU:,Documentary,
356,Eine Weisse unter Kannibalen,1919,Schomburgk,Schomburgk,SU:,Documentary,
357,Ein Abenteurer,1920,Schomburgk,Schomburgk,SU:,Documentary,
358,Tropengift,1920,Schomburgk,Schomburgk,SU:,Documentary,
359,Goldfieber,1920,Schomburgk,Schomburgk,SU:,Documentary,
360,Im Kampf um die Diamantfelder,1921,Schomburgk,Schomburgk,SU:,Documentary,
361,Geheimbundrieten der Frauen in Liberia,1923,Schomburgk,Schomburgk,SU:,Documentary,
362,Mensch und Tier im Urwald,1924,Schomburgk,Schomburgk,SU:,Documentary,
